company_id,company_name,sector,PE,PB,EV_EBITDA,fcf_yield_pct,5yr_median_PE,sector_median_pe,pe_vs_sector_median_pct,flag,dividend_yield_pct,market_cap_crore,year
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,0.06115348347250073,33.97,55.62,-53.487953973390866,Discount,3.2,3154358.33,2024-03
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,6.08,39.72,-4.180016339930263,47.335,34.24,-55.987149532710276,Discount,2.56,1905112.17,2024-03
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61,19.29,0.4001945575069012,21.865000000000002,38.005,-58.900144717800295,Discount,4.41,222391.83,2024-03
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,10.781545408672736,44.31,44.915,-59.59033730379606,Discount,1.11,390111.05,2024-03
BEL,Bharat Electronics Ltd,Industrials,17.89,9.22,23.14,-0.09337302073000636,56.305,47.155,-62.06128724419467,Discount,0.76,1354781.06,2024-03
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,0.81,29.08,-0.2694648852484086,43.58,38.005,-62.58387054334956,Discount,2.37,4173085.48,2024-03
TATAPOWER,"Tata Power Company Ltd
",Energy,14.5,3.48,12.02,0.2166615750083587,23.509999999999998,44.915,-67.71679839697205,Discount,0.49,1647269.48,2024-03
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,3.91,16.66,0.3019460457018293,36.519999999999996,34.24,-71.34929906542055,Discount,2.82,2618348.58,2024-03
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,10.51,21.0,0.0839572651499547,27.58,38.005,-73.34561241941849,Discount,3.1,1793769.72,2024-03
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,3.7,28.79,-0.9664534641259643,56.0,34.24,-73.74415887850468,Discount,1.42,1807433.12,2024-03
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,2.38,33.39,0.6329063689949501,31.5,38.005,-74.89803973161426,Discount,2.18,146151.16,2024-03
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,0.020845250072724943,12.379999999999999,47.06,-75.07437314067148,Discount,0.09,2441803.28,2024-03
TRENT,Trent Ltd,Consumer Discretionary,8.65,11.82,34.65,0.14720244295143942,67.02,38.005,-77.23983686357059,Discount,3.46,571322.04,2024-03
